Модель	Наименование	Категория	Цена	Артикул	Ссылка на товар	Источник
	Бутирометр для сливок 1- 40 уп.10шт.	Лабораторная посуда и принадлежности из стекла/Бутирометры	1648	12010001	https://minimed.ru/product/261/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Бутылки для реактивов с завинчивающейся полипропиленовой крышкой						
БВ-1-1000	Бутылка стеклянная для реактивов узкое горло, с навинчив. крышкой,темное стекло, уп.8 шт.	Лабораторная посуда и принадлежности из стекла/Бутылки для реактивов с завинчивающейся полипропиленовой крышкой	105	10001000	https://minimed.ru/product/351/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Бутылки для крови, трансфузионных и инфузионных препаратов						
ll-50-2-МТО	Бутылка стеклянная тип, для крови, трансфузионных и инфузионных препаратов по уп.180 шт	Лабораторная посуда и принадлежности из стекла/Бутылки для крови, трансфузионных и инфузионных препаратов	20	10006413	https://minimed.ru/product/374/	minimed.ru
ll-100-2-МТО	Бутылка стеклянная для крови, трансфузионных и инфузионных препаратов, уп. 120 шт.	Лабораторная посуда и принадлежности из стекла/Бутылки для крови, трансфузионных и инфузионных препаратов	27	10006410	https://minimed.ru/product/375/	minimed.ru
II-250-2-МТО	Бутылка стеклянная для крови, трансфузионных и инфузионных препаратов ГОСТ 10782-85 №, уп. 28 шт.	Лабораторная посуда и принадлежности из стекла/Бутылки для крови, трансфузионных и инфузионных препаратов	32	10006414	https://minimed.ru/product/2928/	minimed.ru
ll-450-2-МТО	Бутылка стеклянная для крови, трансфузионных и инфузионных препаратов из стекла марки МТО вместимостью 450 см3	Лабораторная посуда и принадлежности из стекла/Бутылки для крови, трансфузионных и инфузионных препаратов	35	10006412	https://minimed.ru/product/3266/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Склянки-аспираторы с краном и пришлифованной пробкой (бутыль Вульфа)						
1000 мл	Склянка-аспиратор с краном и пришлифованной пробкой, (бутыль Вульфа), уп.2/12 шт	Лабораторная посуда и принадлежности из стекла/Склянки-аспираторы с краном и пришлифованной пробкой (бутыль Вульфа)	1211	10006309	https://minimed.ru/product/3849/	minimed.ru
2500 мл	Склянка-аспиратор с краном и пришлифованной пробкой (бутыль Вульфа), уп.1/6 шт	Лабораторная посуда и принадлежности из стекла/Склянки-аспираторы с краном и пришлифованной пробкой (бутыль Вульфа)	1942	10006310	https://minimed.ru/product/3827/	minimed.ru
5000 мл	Склянка-аспиратор с краном и пришлифованной пробкой (бутыль Вульфа), уп.1/6 шт	Лабораторная посуда и принадлежности из стекла/Склянки-аспираторы с краном и пришлифованной пробкой (бутыль Вульфа)	2715	10006311	https://minimed.ru/product/3748/	minimed.ru
10000 мл	Склянка-аспиратор с краном и пришлифованной пробкой (бутыль Вульфа), уп. 1шт/кор.2 шт.	Лабораторная посуда и принадлежности из стекла/Склянки-аспираторы с краном и пришлифованной пробкой (бутыль Вульфа)	4592	10006312	https://minimed.ru/product/279/	minimed.ru
20000 мл	Склянка-аспиратор с краном и пришлифованной пробкой, уп.1 шт, (бутыль Вульфа)	Лабораторная посуда и принадлежности из стекла/Склянки-аспираторы с краном и пришлифованной пробкой (бутыль Вульфа)	8368	10006313	https://minimed.ru/product/280/	minimed.ru
	Кран для склянки-аспиратора 1000 мл, уп. 1 шт	Лабораторная посуда и принадлежности из стекла/Склянки-аспираторы с краном и пришлифованной пробкой (бутыль Вульфа)	819	10006315	https://minimed.ru/product/925/	minimed.ru
	Кран для склянки-аспиратора 2500 мл,5000 мл, уп. 1 шт.	Лабораторная посуда и принадлежности из стекла/Склянки-аспираторы с краном и пришлифованной пробкой (бутыль Вульфа)	1573	10006316	https://minimed.ru/product/926/	minimed.ru
	Кран 29/32 для склянки-аспиратора10000 мл,20000 мл	Лабораторная посуда и принадлежности из стекла/Склянки-аспираторы с краном и пришлифованной пробкой (бутыль Вульфа)	2152	10006318	https://minimed.ru/product/927/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Бюретки без крана, с оливой						
1-3-2-10-0	Бюретка (б/крана), ГОСТ 29251-91, уп.3шт	Лабораторная посуда и принадлежности из стекла/Бюретки без крана, с оливой	492	10000001	https://minimed.ru/product/406/	minimed.ru
1-3-2-25-0	Бюретка,(б/крана), ГОСТ 29251-91, уп.3шт	Лабораторная посуда и принадлежности из стекла/Бюретки без крана, с оливой	534	10000003	https://minimed.ru/product/407/	minimed.ru
1-3-2-50-0	Бюретка,(б/крана), ГОСТ 29251-91, уп.3шт	Лабораторная посуда и принадлежности из стекла/Бюретки без крана, с оливой	565	10000004	https://minimed.ru/product/408/	minimed.ru
1-3-2-100-0	Бюретка (б/крана), ГОСТ 29251-91, уп.3шт	Лабораторная посуда и принадлежности из стекла/Бюретки без крана, с оливой	660	10000002	https://minimed.ru/product/410/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)						
1-1-1-10-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, 1 класс, уп. 1шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	2328	10000325A	https://minimed.ru/product/4143/	minimed.ru
1-1-1-25-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, 1 класс, уп.1шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	2586	10000035А	https://minimed.ru/product/4144/	minimed.ru
1-1-1-25-0	Бюретка,1 с ПТФЭ краном, резьбовым уплотнением, ГОСТ 29251-91, 1 класс, уп. 1шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	2955	10000039А	https://minimed.ru/product/4329/	minimed.ru
1-1-1-50-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, 1 класс, уп. 1шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	3066	10000036А	https://minimed.ru/product/4145/	minimed.ru
1-1-1-50-0	Бюретка,1 с ПТФЭ краном, резьбовым уплотнением, ГОСТ 29251-91, 1 класс, уп. 1шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	3434	10000040А	https://minimed.ru/product/4330/	minimed.ru
1-1-1-100-0	Бюретка с краном, резьбовым уплотнением, ГОСТ 29251-91, 1 класс, уп. 1шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	3369	10000326A	https://minimed.ru/product/4146/	minimed.ru
1-2-2-1-0	Бюретка (микробюретка), кран с резьбовым уплотнением, ТУ 9464-022-52876351-2016, ГОСТ 29251-91, уп.1шт	Лабораторная посуда и принадлежности из стекла/Бюретки с краном (кран с резьбовым уплотнением)	1628	10000023	https://minimed.ru/product/400/	minimed.ru
