Модель	Наименование	Категория	Цена	Артикул	Ссылка на товар	Источник
ХПТ-1-200-14/23-14/23	Холодильник, уп.2/48 шт	Лабораторная посуда и принадлежности из стекла/Холодильники с прямой трубкой	650	12007200	https://minimed.ru/product/2433/	minimed.ru
ХПТ-1-300-14/23-14/23	Холодильник, уп.2/24 шт	Лабораторная посуда и принадлежности из стекла/Холодильники с прямой трубкой	826	12007223	https://minimed.ru/product/2434/	minimed.ru
ХПТ-1-300-19/26-19/26	Холодильник, уп.2/24шт	Лабораторная посуда и принадлежности из стекла/Холодильники с прямой трубкой	846	12007241	https://minimed.ru/product/2435/	minimed.ru
ХПТ-1-400-14/23-14/23	Холодильник, уп.1/24 шт	Лабораторная посуда и принадлежности из стекла/Холодильники с прямой трубкой	1035	12007224	https://minimed.ru/product/2436/	minimed.ru
ХПТ-1-600-14/23-14/23	Холодильник, уп.1/16 шт	Лабораторная посуда и принадлежности из стекла/Холодильники с прямой трубкой	1342	12007225	https://minimed.ru/product/2437/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Холодильники спиральные с внутренним охлаждением						
ХСВ-200-14/23-29/32	Холодильник, уп.2/48 шт	Лабораторная посуда и принадлежности из стекла/Холодильники спиральные с внутренним охлаждением	1097	12007226	https://minimed.ru/product/2438/	minimed.ru
ХСВ-300-29/32-29/32	Холодильник, уп. 2/24 шт	Лабораторная посуда и принадлежности из стекла/Холодильники спиральные с внутренним охлаждением	1458	12007232	https://minimed.ru/product/2439/	minimed.ru
ХСВ-400-14/23-29/32	Холодильник, уп.2 шт	Лабораторная посуда и принадлежности из стекла/Холодильники спиральные с внутренним охлаждением	2134	12007240	https://minimed.ru/product/2440/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Холодильники спиральные с наружным охлаждением						
ХСН-200-14/23	Холодильник спиральный, уп.2/48 шт	Лабораторная посуда и принадлежности из стекла/Холодильники спиральные с наружным охлаждением	823	12007210	https://minimed.ru/product/2733/	minimed.ru
ХСН-300-29/32	Холодильник спиральный, уп.2/24 шт	Лабораторная посуда и принадлежности из стекла/Холодильники спиральные с наружным охлаждением	1063	12007207	https://minimed.ru/product/2430/	minimed.ru
ХСН-400-29/32	Холодильник спиральный, уп.1/24 шт	Лабораторная посуда и принадлежности из стекла/Холодильники спиральные с наружным охлаждением	1280	12007233	https://minimed.ru/product/2431/	minimed.ru
ХСН-600-29/32	Холодильник спиральный, уп.1/16 шт	Лабораторная посуда и принадлежности из стекла/Холодильники спиральные с наружным охлаждением	1819	12007234	https://minimed.ru/product/2432/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Холодильники шариковые						
ХШ-1-200-19/26	Холодильник, уп.2/48 шт	Лабораторная посуда и принадлежности из стекла/Холодильники шариковые	785	12007235	https://minimed.ru/product/2441/	minimed.ru
ХШ-1-300-29/32	Холодильник, уп.2/24 шт	Лабораторная посуда и принадлежности из стекла/Холодильники шариковые	1078	12007214	https://minimed.ru/product/2442/	minimed.ru
ХШ-1-400-29/32	Холодильник, уп.1/24 шт	Лабораторная посуда и принадлежности из стекла/Холодильники шариковые	1290	12007229	https://minimed.ru/product/2443/	minimed.ru
ХШ-1-600-29/32	Холодильник, уп.1/16 шт	Лабораторная посуда и принадлежности из стекла/Холодильники шариковые	1765	12007236	https://minimed.ru/product/2444/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Цилиндры без делений для ареометров на пластмассовом основании						
3-25/195	Цилиндр д/ареометров, уп.10шт	Лабораторная посуда и принадлежности из стекла/Цилиндры без делений для ареометров на пластмассовом основании	63	10004501	https://minimed.ru/product/2487/	minimed.ru
3-31/220	Цилиндр д/ареометров, уп. 5 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры без делений для ареометров на пластмассовом основании	106	10004502	https://minimed.ru/product/2488/	minimed.ru
3-39/290	Цилиндр д/ареометров, уп.10 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры без делений для ареометров на пластмассовом основании	144	10004503	https://minimed.ru/product/2489/	minimed.ru
3-49/390	Цилиндр д/ареометров, уп. 10 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры без делений для ареометров на пластмассовом основании	239	10004504	https://minimed.ru/product/2490/	minimed.ru
3-47/590	Цилиндр д/ареометров, уп. 4 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры без делений для ареометров на пластмассовом основании	480	10004505	https://minimed.ru/product/2491/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 3 - на пластмассовом основании)						
5мл	Цилиндр 5 мл со стеклянной пришлифованной пробкой на пласт. основании, уп.10шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 3 - на пластмассовом основании)	246	10004608	https://minimed.ru/product/4257/	minimed.ru
5мл	Цилиндр 5 мл со шлифом на пласт. основании, уп.10шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 3 - на пластмассовом основании)	164	10004609	https://minimed.ru/product/4258/	minimed.ru
3-25-2	Цилиндр мерная на пластмассовом основании, с делением, уп.10 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 3 - на пластмассовом основании)	103	10004603	https://minimed.ru/product/2458/	minimed.ru
3-50-2	Цилиндр мерная на пластмассовом основании, с дел., уп.10 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 3 - на пластмассовом основании)	111	10004605	https://minimed.ru/product/2459/	minimed.ru
3-100-2	Цилиндр мерная на пластмассовом основании, с дел., уп.5 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 3 - на пластмассовом основании)	143	10004601	https://minimed.ru/product/2473/	minimed.ru
3-250-2	Цилиндр мерная на пластмассовом основании, с дел., уп.10 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 3 - на пластмассовом основании)	216	10004602	https://minimed.ru/product/2474/	minimed.ru
3-500-2	Цилиндр мерная на пластмассовом основании, с дел., уп.1 шт/ кор.6 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 3 - на пластмассовом основании)	347	10004604	https://minimed.ru/product/2475/	minimed.ru
	Цилиндр 500 мл с п/эт пробкой на п/эт основании, шлиф 34, LMS	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 3 - на пластмассовом основании)	451	63322818	https://minimed.ru/product/3823/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании)						
1-10-2	Цилиндр с нос. и стекл. осн., ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.12 / кор.288 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании)	149	10004308	https://minimed.ru/product/2447/	minimed.ru
1-25-2	Цилиндр с нос. и стекл. осн., ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.12/ кор. 144 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании)	184	10004305	https://minimed.ru/product/2448/	minimed.ru
1-50-2	Цилиндр с нос. и стекл. осн., ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.6/ кор. 144 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании)	204	10004307	https://minimed.ru/product/2449/	minimed.ru
1-100-2	Цилиндр с нос. и стекл. осн., ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.6/ кор.96 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании)	235	10004302	https://minimed.ru/product/2464/	minimed.ru
1-250-2	Цилиндр с нос. и стекл. осн., ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.2/ кор.48 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании)	452	10004304	https://minimed.ru/product/2465/	minimed.ru
1-500-2	Цилиндр с нос. и стекл. осн., ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.2/ кор.32 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании)	688	10004306	https://minimed.ru/product/2466/	minimed.ru
1-1000-2	Цилиндр с нос. и стекл. осн., ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.2/ кор.12 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании)	1025	10004301	https://minimed.ru/product/2480/	minimed.ru
1-2000-2	Цилиндр с нос. и стекл. осн., ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.1/ кор.8 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании)	2263	10004303	https://minimed.ru/product/2481/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании)						
2-10-2	Цилиндр на стекл. осн., с пришл.пробк, ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.12/288 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании)	347	10004407	https://minimed.ru/product/2452/	minimed.ru
2-25-2	Цилиндр на стекл. осн., с пришл.пробк., ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.12 / кор.144шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании)	403	10004408	https://minimed.ru/product/2453/	minimed.ru
2-50-2	Цилиндр на стекл. осн., с пришл.пробк, ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.6/ кор.144 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании)	508	10004406	https://minimed.ru/product/2456/	minimed.ru
2-100-2	Цилиндр на стекл. осн., с пришл.пробк, ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.6/ кор.72 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании)	675	10004402	https://minimed.ru/product/2467/	minimed.ru
2-250-2	Цилиндр на стекл. осн., с пришл.пробк, ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.2/ кор. 48 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании)	961	10004404	https://minimed.ru/product/2469/	minimed.ru
2-500-2	Цилиндр на стекл. осн., с пришл.пробк, ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.2/ кор.24 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании)	1255	10004405	https://minimed.ru/product/2471/	minimed.ru
2-1000-2	Цилиндр на стекл. осн., с пришл.пробк, ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп.2/12 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании)	1535	10004401	https://minimed.ru/product/2484/	minimed.ru
2-2000-2	Цилиндр на стекл. осн., с пришл.пробк, ТУ 9464-013-52876351-2014, ГОСТ 1770-74, уп. 1/8 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании)	3620	10004403	https://minimed.ru/product/2486/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании) 1 класс						
1-10-1	Цилиндр мерный с носиком на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./144 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании) 1 класс	683	10001171А	https://minimed.ru/product/3788/	minimed.ru
1-25-1	Цилиндр мерный с носиком на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./144 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании) 1 класс	774	10001172А	https://minimed.ru/product/3789/	minimed.ru
1-50-1	Цилиндр мерный с носиком на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./96 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании) 1 класс	810	10001173А	https://minimed.ru/product/3790/	minimed.ru
1-100-1	Цилиндр мерный с носиком на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./72 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании) 1 класс	865	10001174А	https://minimed.ru/product/3794/	minimed.ru
1-250-1	Цилиндр мерный с носиком на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./32 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании) 1 класс	1411	10001175А	https://minimed.ru/product/3795/	minimed.ru
1-500-1	Цилиндр мерный с носиком на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./24 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании) 1 класс	2140	10001176А	https://minimed.ru/product/3796/	minimed.ru
1-1000-1	Цилиндр мерный с носиком на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./12 шт	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании) 1 класс	3596	10001169А	https://minimed.ru/product/3800/	minimed.ru
1-2000-1	Цилиндр мерный с носиком на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./6 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 1 - на стеклянном основании) 1 класс	5670	10001170А	https://minimed.ru/product/3801/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании) 1 класс						
2-10-1	Цилиндр мерный с пришлиф. пробкой на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./144 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании) 1 класс	838	10001180А	https://minimed.ru/product/3791/	minimed.ru
2-25-1	Цилиндр мерный с пришлиф. пробкой на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./144 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании) 1 класс	956	10001181А	https://minimed.ru/product/3792/	minimed.ru
2-50-1	Цилиндр мерный с пришлиф. пробкой на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./96 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании) 1 класс	1002	10001182А	https://minimed.ru/product/3793/	minimed.ru
2-100-1	Цилиндр мерный с пришлиф. пробкой на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./72 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании) 1 класс	1047	10001183А	https://minimed.ru/product/3797/	minimed.ru
2-250-1	Цилиндр мерный с пришлиф. пробкой на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./32 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании) 1 класс	1684	10001184А	https://minimed.ru/product/3798/	minimed.ru
2-500-1	Цилиндр мерный с пришлиф. пробкой на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./24 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании) 1 класс	2413	10001185А	https://minimed.ru/product/3799/	minimed.ru
2-1000-1	Цилиндр мерный с пришлиф. пробкой на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./12 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании) 1 класс	3870	10001186А	https://minimed.ru/product/3802/	minimed.ru
2-2000-1	Цилиндр мерный с пришлиф. пробкой на стекл. основании, 1 класс, ГОСТ 1770-74, инд.уп./6 шт.	Лабораторная посуда и принадлежности из стекла/Цилиндры лабораторные (мерные: исполнение 2 - с пришлифованной пробкой, на стеклянном основании) 1 класс	6601	10001187А	https://minimed.ru/product/3803/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Цилиндры прочие						
	Цилиндр б/дел. с носиком и переходником, d-2,5см	Лабораторная посуда и принадлежности из стекла/Цилиндры прочие	117	10004610	https://minimed.ru/product/2822/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Часы песочные						
	Часы песочные 1 мин, уп.20 шт	Лабораторная посуда и принадлежности из стекла/Часы песочные	38	12004730	https://minimed.ru/product/2493/	minimed.ru
	Часы песочные 2 мин, инд.уп.	Лабораторная посуда и принадлежности из стекла/Часы песочные	42	12004731	https://minimed.ru/product/2495/	minimed.ru
	Часы песочные 3 мин, инд.уп.	Лабораторная посуда и принадлежности из стекла/Часы песочные	44	12004732	https://minimed.ru/product/2497/	minimed.ru
	Часы песочные 5 мин, инд.уп.	Лабораторная посуда и принадлежности из стекла/Часы песочные	40	12004733	https://minimed.ru/product/2499/	minimed.ru
	Часы песочные 10 мин, инд.уп	Лабораторная посуда и принадлежности из стекла/Часы песочные	224	12004737	https://minimed.ru/product/3870/	minimed.ru
	Часы песочные 15 мин, инд.уп	Лабораторная посуда и принадлежности из стекла/Часы песочные	232	12004738	https://minimed.ru/product/3871/	minimed.ru
	Часы песочные 20 мин, инд.уп	Лабораторная посуда и принадлежности из стекла/Часы песочные	240	12004739	https://minimed.ru/product/3872/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Чаши кристаллизационные						
	Чаша кристаллизационная диам. 60 мм, уп.10/240 шт	Лабораторная посуда и принадлежности из стекла/Чаши кристаллизационные	188	10005708	https://minimed.ru/product/2526/	minimed.ru
	Чаша кристаллизационная диам. 90 мм, уп.8/120 шт	Лабораторная посуда и принадлежности из стекла/Чаши кристаллизационные	257	10005709	https://minimed.ru/product/2527/	minimed.ru
	Чаша кристаллизационная диам.100 мм, уп.6/120 шт	Лабораторная посуда и принадлежности из стекла/Чаши кристаллизационные	332	10005703	https://minimed.ru/product/2528/	minimed.ru
	Чаша кристаллизационная диам.125 мм, уп.2/48 шт	Лабораторная посуда и принадлежности из стекла/Чаши кристаллизационные	445	10005704	https://minimed.ru/product/2529/	minimed.ru
	Чаша кристаллизационная диам.150 мм, уп.2/48 шт	Лабораторная посуда и принадлежности из стекла/Чаши кристаллизационные	695	10005705	https://minimed.ru/product/2530/	minimed.ru
	Чаша кристаллизационная диам.180 мм, уп.1/24 шт	Лабораторная посуда и принадлежности из стекла/Чаши кристаллизационные	1002	10005706	https://minimed.ru/product/2531/	minimed.ru
	Чаша кристаллизационная диам.200 мм, уп.1/12шт	Лабораторная посуда и принадлежности из стекла/Чаши кристаллизационные	1249	10005710	https://minimed.ru/product/3668/	minimed.ru
	Чаша кристаллизационная диам.230 мм, уп.1/12шт	Лабораторная посуда и принадлежности из стекла/Чаши кристаллизационные	2391	10005711	https://minimed.ru/product/3669/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Чаши выпарительные						
	Чаша выпарительная 60 мм, стеклянная, с плоским дном, ТС, уп.10/240 шт	Лабораторная посуда и принадлежности из стекла/Чаши выпарительные	211	10005800	https://minimed.ru/product/2522/	minimed.ru
	Чаша выпарительная 90 мм, стеклянная, с плоским дном, ТС, уп.10/120 шт	Лабораторная посуда и принадлежности из стекла/Чаши выпарительные	238	10005801	https://minimed.ru/product/2523/	minimed.ru
	Чаша выпарительная 120 мм, стеклянная, с плоским дном, ТС, уп.2/60 шт	Лабораторная посуда и принадлежности из стекла/Чаши выпарительные	297	10005802	https://minimed.ru/product/2524/	minimed.ru
	Чаша выпарительная 150 мм, стеклянная, с плоским дном, ТС, уп.2/40 шт	Лабораторная посуда и принадлежности из стекла/Чаши выпарительные	520	10005803	https://minimed.ru/product/2525/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Чашки биологические (Петри)						
	Чашка микробиологическая (Петри) ЧМ,100*20 мм,толщ.ст.3 мм,НС уп.36 шт.	Лабораторная посуда и принадлежности из стекла/Чашки биологические (Петри)	82	11000245	https://minimed.ru/product/2532/	minimed.ru
	Чашка биологическая (Петри), стекло, диам.60*15 мм, Boro 3.3, уп.10/240) шт	Лабораторная посуда и принадлежности из стекла/Чашки биологические (Петри)	103	11000250	https://minimed.ru/product/2533/	minimed.ru
	Чашка биологическая (Петри),90*18 мм,толщ.ст.1,3 мм, Boro 3.3,уп.10 шт./120 шт	Лабораторная посуда и принадлежности из стекла/Чашки биологические (Петри)	137	11000253	https://minimed.ru/product/2534/	minimed.ru
	Чашка микробиологическая (Петри) ЧМ, 100*20 мм, 2-секционная, по уп.12 шт	Лабораторная посуда и принадлежности из стекла/Чашки биологические (Петри)	436	11000242	https://minimed.ru/product/2536/	minimed.ru
	Чашка стеклянная мм, 4-секционная, уп.36 шт	Лабораторная посуда и принадлежности из стекла/Чашки биологические (Петри)	406	11000244	https://minimed.ru/product/2566/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана						
2-150	Эксикатор мм, уп.1/2 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	1331	10004809	https://minimed.ru/product/2662/	minimed.ru
2-150	Эксикатор мм,темное стекло, уп.1/2 шт.	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	2157	10004818	https://minimed.ru/product/2663/	minimed.ru
2-180	Эксикатор мм, уп.1/2 шт.	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	1798	10004801	https://minimed.ru/product/2664/	minimed.ru
2-180	Эксикатор мм,темное стекло, уп.1/2 шт.	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	2998	10004819	https://minimed.ru/product/2665/	minimed.ru
2-210	Эксикатор мм, уп.1 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	2342	10004802	https://minimed.ru/product/2666/	minimed.ru
2-210	Эксикатор мм,темное стекло, уп. 1 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	3601	10004820	https://minimed.ru/product/2667/	minimed.ru
2-240	Эксикатор мм, уп.1 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	3468	10004804	https://minimed.ru/product/2668/	minimed.ru
2-240	Эксикатор мм,темное стекло, уп. 1 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	6464	10004821	https://minimed.ru/product/2669/	minimed.ru
2-300	Эксикатор мм, уп.1 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	4751	10004816	https://minimed.ru/product/2670/	minimed.ru
2-300	Эксикатор мм,темное стекло,уп.1 шт.	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	8270	10004822	https://minimed.ru/product/3670/	minimed.ru
2-400	Эксикатор мм, уп.1 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	16067	10004834	https://minimed.ru/product/3671/	minimed.ru
2-400	Эксикатор мм,темное стекло, уп.1 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы без крана	27501	10004832	https://minimed.ru/product/3672/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном						
1-150	Эксикатор вакуумный с краном мм,темное стекло,уп.1/2шт.	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	3437	10004825	https://minimed.ru/product/2998/	minimed.ru
1-150	Эксикатор вакуумный с краном мм, уп.1/2 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	2003	10004808	https://minimed.ru/product/2674/	minimed.ru
1-180	Эксикатор вакуумный с краном мм,темное стекло, уп.1/2 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	3918	10004826	https://minimed.ru/product/2999/	minimed.ru
1-180	Эксикатор вакуумный с краном мм, уп.1/2 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	2558	10004805	https://minimed.ru/product/2675/	minimed.ru
1-210	Эксикатор вакуумный с краном мм,темное стекло,уп.1 шт.	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	5996	10004827	https://minimed.ru/product/3000/	minimed.ru
1-210	Эксикатор вакуумный с краном мм, уп.1 шт.	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	3563	10004806	https://minimed.ru/product/2676/	minimed.ru
1-240	Эксикатор вакуумный с краном мм,темное стекло,уп.1 шт.	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	9068	10004828	https://minimed.ru/product/3039/	minimed.ru
1-240	Эксикатор вакуумный с краном мм, уп.1 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	5450	10004810	https://minimed.ru/product/2677/	minimed.ru
1-300	Эксикатор вакуумный с краном мм,темное стекло,уп.1 шт.	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	13078	10004829	https://minimed.ru/product/3001/	minimed.ru
1-300	Эксикатор вакуумный с краном мм, уп.1 шт	Лабораторная посуда и принадлежности из стекла/Эксикаторы вакуумные с краном	7971	10004823	https://minimed.ru/product/2678/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Крышки к эксикаторам						
	Крышка к эксикатору 150 мм, уп.1/2шт.	Лабораторная посуда и принадлежности из стекла/Крышки к эксикаторам	869	10004811	https://minimed.ru/product/973/	minimed.ru
	Крышка к эксикатору 180 мм,уп.1/2шт.	Лабораторная посуда и принадлежности из стекла/Крышки к эксикаторам	1175	10004812	https://minimed.ru/product/974/	minimed.ru
	Крышка к эксикатору 210 мм,уп.1/2шт.	Лабораторная посуда и принадлежности из стекла/Крышки к эксикаторам	1606	10004813	https://minimed.ru/product/975/	minimed.ru
	Крышка к эксикатору 240 мм,уп.1/2/3шт.	Лабораторная посуда и принадлежности из стекла/Крышки к эксикаторам	2044	10004814	https://minimed.ru/product/976/	minimed.ru
	Крышка к эксикатору 300 мм,уп.1/2шт.	Лабораторная посуда и принадлежности из стекла/Крышки к эксикаторам	2731	10004830	https://minimed.ru/product/977/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Элементы прямые с двумя кернами						
ЭП2-14/23-120	Элемент	Лабораторная посуда и принадлежности из стекла/Элементы прямые с двумя кернами	482	10004905	https://minimed.ru/product/3674/	minimed.ru
ЭП2-14/23-75	Элемент	Лабораторная посуда и принадлежности из стекла/Элементы прямые с двумя кернами	482	10004900	https://minimed.ru/product/2681/	minimed.ru
ЭП2-29/32-165	Элемент	Лабораторная посуда и принадлежности из стекла/Элементы прямые с двумя кернами	783	10004906	https://minimed.ru/product/3675/	minimed.ru
ЭП2-29/32-85	Элемент	Лабораторная посуда и принадлежности из стекла/Элементы прямые с двумя кернами	783	10004901	https://minimed.ru/product/2682/	minimed.ru
ЭП2-29/32-95	Элемент	Лабораторная посуда и принадлежности из стекла/Элементы прямые с двумя кернами	783	10004907	https://minimed.ru/product/3676/	minimed.ru

Лабораторная посуда и принадлежности из стекла/Элементы прямые с двумя муфтами						
